;Zummi;Gruffi;Grammi;Tummi;Sunni;Cubbi;Sir Thornberry;Gusto;Chummi;Sir Gallant
0;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
1;Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
2;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział
3;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
4;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział
5;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
6;Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział
7;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
8;Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
9;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział
10;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;nan;Widział;Widział
11;Widział;Widział;nan;Widział;Widział;Widział;Nie Widział;Widział;nie widzial;Widział
12;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
13;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
14;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział
15;Widzial;Widział;nie;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
16;Nie Widział;Widzial;Nie Widział;Widział;Nie Widział;nie widzial;Widział;Widział;Widział;Nie Widział
17;Nie Widział;Nie Widział;Nie Widział;Widział;nan;Widział;Nie Widział;nan;Nie Widział;Widział
18;Widział;nie widzial;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział
19;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
20;Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział
21;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widzial;Nie Widział;Nie Widział;Nie Widział
22;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
23;Nie Widział;Widział;Nie Widział;nie widzial;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział
24;Widział;Widział;Nie Widział;Nie Widział;Widzial;nan;tak;Widział;Widział;Nie Widział
25;Widział;nan;Widział;nie widzial;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział
26;Widział;Widział;Nie Widział;tak;Widzial;Nie Widział;Widzi al;Widział;Widział;Widzial
27;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
28;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widzi al;Widział;Nie Widział
29;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział
30;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
31;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział
32;Nie Widział;Widział;nie widzial;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział
33;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Widział;Widział;Nie Widział
34;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widzial;Widział;Widział
35;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widzial;Nie Widział
36;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;nie widzial;Nie Widział;nie;Nie Widział
37;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nie widzial;Nie Widział;nie widzial
38;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział
39;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Widział;Widział
40;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widzi al;Widział
41;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
